cluster_rank,cluster_id,template,cluster_n_portais
1,5,Síntese Tecnologia e Informática,88
2,7,Memory,66
3,1,Siplanweb,61
4,17,Portaltp,61
5,6,Portal Fácil,60
6,2,Portal Fácil,46
7,46,PT,45
8,4,Template2,28
9,90,GRP,27
10,3,Betha,26
11,9,Template1,22
12,28,ADPM,22
13,89,ABO,21
14,0,Municipal net,11
15,24,Template1,9
16,206,Fiorilli sociedade civil,7
17,36,Habeas data,7
18,60,Horusdm,7
19,309,ADPM,7
20,64,Betha,7
21,26,E-Cidade,7
22,103,Memory,6
23,319,Portaltransp,6
24,15,Municipio Web,5
25,72,Portal Fácil,5
26,348,IPM Sistemas,5
27,13,Tecnologia Global Sistemas,5
28,85,Template3,5
29,188,GOVBR,4
30,662,Dardani Sistemas,4