Template,aux,Coletor,Status
Siplanweb,1,Licitação,Coletado
Siplanweb,1,Empenhos,Coletado
Siplanweb,1,Restos a Pagar,Coletado
Siplanweb,1,Documentos/LDO/PPA,Coletado
Siplanweb,1,Contas Publicas/Lei de Responsabilidade,Não Coletado
Siplanweb,1,Contas Publicas/Balanços Consolidados,Coletado
Siplanweb,1,Aba "Pessoal",Coletado
Siplanweb,1,Documentos/Pessoal/Prefeitura Municipal,Não Coletado
Siplanweb,1,Auxilios,Não Coletável
Siplanweb,1,Dispêndios,Não Coletável
Siplanweb,1,Contratos,Não Coletado
Siplanweb,1,Dados para acompanhamento,Não Coletável
Siplanweb,1,Relatório estatístico (Divulgação de relatório de atendimentos),Não Coletável
Siplanweb,1,Bases de dados abertos,Não Coletável
Siplanweb,1,Home do site com o link de acessáveis até um clique de distância,Não Coletado
Siplanweb,1,Informações,Não Coletável
Siplanweb,1,Receita Orçamentária,Não Coletado
Siplanweb,1,Convênios,Não Coletado
Siplanweb,1,Aditivos,Não Coletado
Siplanweb,1,Repasses,Não Coletável
Siplanweb,1,Concurso Público,Não Coletável
Siplanweb,1,Solicitação Diarias,Não Coletado
Siplanweb,1,Documentos/Documentos Publicos / LDO PPA,Não Coletado
Siplanweb,1,Contas Públicas,Não Coletado
Siplanweb,1,Estrutura organizacional,Não Coletável
Siplanweb,1,Documentos Publicos / Leis Decretos e Portarias,Não Coletado
Siplanweb,1,Registro das competências de cada órgão municipal,Não Coletável
Siplanweb,1,Unidades Administrativas,Não Coletável
Siplanweb,1,"Informações sobre os Conselhos Municipais (CODEMA, CMDCA, Saúde, etc)",Não Coletável
Síntese Tecnologia,1,Detalhes da Licitação,Coletado
Síntese Tecnologia,1,Home - Licitação,Coletado
Síntese Tecnologia,1,Empenhos Anulados,Coletado
Síntese Tecnologia,1,Empenhos Emitidos,Coletado
Síntese Tecnologia,1,Empenhos Liquidados,Coletado
Síntese Tecnologia,1,Relatorios Orcamentarios,Coletado
Síntese Tecnologia,1,Relatorios de Gestão Fiscal,Coletado
Síntese Tecnologia,1,Pagamentos,Coletado
Síntese Tecnologia,1,Contas Publicas,Coletado
Síntese Tecnologia,1,Aba "Pessoal",Não Coletado
Síntese Tecnologia,1,Documentos/Pessoal/Prefeitura Municipal,Não Coletado
Síntese Tecnologia,1,Auxilios,Não Coletado
Síntese Tecnologia,1,Dispêndios,Não Coletado
Síntese Tecnologia,1,Contratos,Não Coletado
Síntese Tecnologia,1,Dados para acompanhamento,Não Coletado
Síntese Tecnologia,1,Relatório estatístico (Divulgação de relatório de atendimentos),Não Coletado
Síntese Tecnologia,1,Bases de dados abertos,Não Coletado
Síntese Tecnologia,1,Home do site com o link de acessáveis até um clique de distância,Não Coletado
Síntese Tecnologia,1,Informações,Não Coletado
Síntese Tecnologia,1,Receita Orçamentária,Não Coletado
Síntese Tecnologia,1,Convênios,Não Coletado
Síntese Tecnologia,1,Aditivos,Não Coletado
Síntese Tecnologia,1,Repasses,Não Coletado
Síntese Tecnologia,1,Concurso Público,Não Coletado
Síntese Tecnologia,1,Solicitação Diarias,Não Coletado
Síntese Tecnologia,1,Documentos/Documentos Publicos / LDO PPA,Não Coletado
Síntese Tecnologia,1,Contas Públicas,Não Coletado
Síntese Tecnologia,1,Estrutura organizacional,Não Coletado
Síntese Tecnologia,1,Documentos Publicos / Leis Decretos e Portarias,Não Coletado
Síntese Tecnologia,1,Registro das competências de cada órgão municipal,Não Coletado
Síntese Tecnologia,1,Unidades Administrativas,Não Coletado
Síntese Tecnologia,1,"Informações sobre os Conselhos Municipais (CODEMA, CMDCA, Saúde, etc)",Não Coletado